sequence,tracking_ratio,trajectory_ratio,se3_rmse_m,sim3_rmse_m,sim3_scale,path_ratio_est_over_gt,tracking_frames,frames_total,failure_updates,relocalization_frames,paused_frames,gpu_samples,gpu_mean_util_percent,gpu_peak_util_percent,gpu_mean_mem_used_mb,gpu_peak_mem_used_mb,gpu_mean_power_w,gpu_peak_power_w,gpu_mean_temp_c,gpu_peak_temp_c
freiburg1_desk,0.9787928221859706,0.8988580750407831,0.8633893429001638,0.12953626021871417,0.4998346254863884,2.0793858702937955,600,613,7,6,1,,,,,,,,,
freiburg1_room,0.9177679882525698,0.7070484581497798,0.9996624920433528,0.8547871422549136,0.5267193292856818,1.417976425713482,1250,1362,74,63,11,,,,,,,,,
freiburg1_xyz,0.9912280701754386,0.7744360902255639,0.03306519530738029,0.02561058683316822,0.9014879981120781,1.1653051323563286,791,798,0,0,0,,,,,,,,,
freiburg3_cabinet,0.0,0.0,,,,,0,1147,0,0,0,,,,,,,,,
freiburg3_large_cabinet,0.4698318496538081,0.4094955489614243,1.7325122900422858,1.5762170547569645,8.311744588377922,0.17175148414819047,475,1011,78,65,13,,,,,,,,,
freiburg3_teddy,0.937733499377335,0.8908260689082607,0.7292765906782201,0.43658169650362,0.5324902259186991,1.6081499611378307,2259,2409,75,64,11,,,,,,,,,
