sequence,svo_status,svo_tracking_ratio,svo_trajectory_ratio,svo_se3_rmse_m,svo_sim3_rmse_m,svo_sim3_scale,svo_path_ratio_est_over_gt,da3_run_name,da3_match_count,da3_se3_rmse_m,da3_sim3_rmse_m,da3_sim3_scale,da3_path_ratio_est_over_gt,winner_by_sim3
freiburg1_desk,ok,0.9314845024469821,0.8091353996737357,0.4732176125931766,0.43492723031692143,0.7942981984406189,1.0343013505391376,freiburg1_desk__fps2__chunk30__overlap15__loop,40,0.20919840485176255,0.02031865029355837,1.3121800313611391,0.7577252324792291,DA3
freiburg1_room,ok,0.8436123348017621,0.5308370044052864,0.9750096926987517,0.9548882989411572,0.6041445962816934,0.8910189206149252,freiburg1_room__fps3__chunk30__overlap15__loop,130,0.46227053989717404,0.08321338580122875,1.8136952757884726,0.581060238554277,DA3
freiburg1_xyz,ok,0.9912280701754386,0.9010025062656641,0.12215359160023827,0.12183516340553951,1.0647019630274779,0.6938476015014431,freiburg1_xyz__fps2__chunk30__overlap15__loop,52,0.055788904664054784,0.01070286086033377,1.4186829069285558,0.7063606410871872,DA3
freiburg3_cabinet,empty_estimate,0.0,0.0,,,,,freiburg3_cabinet__fps2__chunk30__overlap15__loop,75,0.3066574497576749,0.014729647930249796,1.3159263526881104,0.7617772721788624,DA3
freiburg3_large_cabinet,ok,0.7250247279920871,0.6963402571711177,0.9602568771248403,0.2620260007792138,2.0340054824803273,0.6388010867986534,freiburg3_large_cabinet__fps2__chunk30__overlap15__loop,67,1.6949058961059607,0.03026334355854789,3.7380390310681926,0.2672141116239525,DA3
freiburg3_teddy,ok,0.9232046492320465,0.8787878787878788,0.7043803852295875,0.3688601693840957,0.539009748512618,1.6990141126126936,freiburg3_teddy__fps3__chunk30__overlap15__loop,230,0.04508696431110323,0.026436242919577878,0.9554846659166959,1.0508111727719842,DA3
