sequence,run_name,match_count,se3_rmse_m,sim3_rmse_m,sim3_scale,path_ratio_est_over_gt
freiburg1_desk,freiburg1_desk__fps2__chunk30__overlap15__loop,40,0.20919840485176255,0.02031865029355837,1.3121800313611391,0.7577252324792291
freiburg1_room,freiburg1_room__fps3__chunk30__overlap15__loop,130,0.46227053989717404,0.08321338580122875,1.8136952757884726,0.581060238554277
freiburg1_xyz,freiburg1_xyz__fps2__chunk30__overlap15__loop,52,0.055788904664054784,0.01070286086033377,1.4186829069285558,0.7063606410871872
freiburg3_cabinet,freiburg3_cabinet__fps2__chunk30__overlap15__loop,75,0.3066574497576749,0.014729647930249796,1.3159263526881104,0.7617772721788624
freiburg3_large_cabinet,freiburg3_large_cabinet__fps2__chunk30__overlap15__loop,67,1.6949058961059607,0.03026334355854789,3.7380390310681926,0.2672141116239525
freiburg3_teddy,freiburg3_teddy__fps3__chunk30__overlap15__loop,230,0.04508696431110323,0.026436242919577878,0.9554846659166959,1.0508111727719842
