sequence,tracking_ratio,trajectory_ratio,se3_rmse_m,sim3_rmse_m,sim3_scale,path_ratio_est_over_gt,tracking_frames,frames_total,failure_updates,relocalization_frames,paused_frames,gpu_samples,gpu_mean_util_percent,gpu_peak_util_percent,gpu_mean_mem_used_mb,gpu_peak_mem_used_mb,gpu_mean_power_w,gpu_peak_power_w,gpu_mean_temp_c,gpu_peak_temp_c
freiburg1_desk,0.9314845024469821,0.8091353996737357,0.4732176125931766,0.43492723031692143,0.7942981984406189,1.0343013505391376,571,613,24,20,4,,,,,,,,,
freiburg1_room,0.8436123348017621,0.5308370044052864,0.9750096926987517,0.9548882989411572,0.6041445962816934,0.8910189206149252,1149,1362,146,123,23,,,,,,,,,
freiburg1_xyz,0.9912280701754386,0.9010025062656641,0.12215359160023827,0.12183516340553951,1.0647019630274779,0.6938476015014431,791,798,0,0,0,,,,,,,,,
freiburg3_cabinet,0.0,0.0,,,,,0,1147,0,0,0,,,,,,,,,
freiburg3_large_cabinet,0.7250247279920871,0.6963402571711177,0.9602568771248403,0.2620260007792138,2.0340054824803273,0.6388010867986534,733,1011,25,21,4,,,,,,,,,
freiburg3_teddy,0.9232046492320465,0.8787878787878788,0.7043803852295875,0.3688601693840957,0.539009748512618,1.6990141126126936,2224,2409,94,80,14,,,,,,,,,
