sequence,svo_status,svo_tracking_ratio,svo_trajectory_ratio,svo_se3_rmse_m,svo_sim3_rmse_m,svo_sim3_scale,svo_path_ratio_est_over_gt,da3_run_name,da3_fps,da3_match_count,da3_se3_rmse_m,da3_sim3_rmse_m,da3_sim3_scale,da3_path_ratio_est_over_gt,winner_by_sim3
bookstore,ok,0.9406660412757973,0.7544559099437148,9.45646769045226,9.375801113086302,0.5969855054398091,0.47473985594641543,20260612T095032Z_fps5_da3_streaming,5,1456,4.45219779244241,1.6751358871026258,1.7277152688672588,0.520562481573948,DA3
office0,ok,0.9629023458810693,0.9476268412438625,6.819097952530162,6.7782791096553305,1.8253570519954825,0.12136790362182724,20260612T095032Z_fps2_da3_streaming,2,390,5.282591922245769,0.6633208013895225,4.515289414623246,0.2217921980074742,DA3
office1,ok,0.9342956694873071,0.8287705326032853,7.532759440575826,7.232244275443393,3.0540492191262283,0.22650902999514036,20260612T095032Z_fps2_da3_streaming,2,412,5.343590914421878,0.6581131899665679,3.3566283428661228,0.3264302566011294,DA3
office2,ok,0.665929203539823,0.415929203539823,3.1462923406711547,3.057284892915016,0.5476860302369486,1.1341209064445503,20260612T095032Z_fps3_da3_streaming,3,510,2.3674254624964726,0.2298219152906338,2.519991602771001,0.39778695472529396,DA3
warehouse1,ok,0.664320193081255,0.3680611423974256,18.94972849579539,18.878579152840498,1.9750510191559894,0.2273964326981355,20260612T095032Z_fps2_da3_streaming,2,1748,20.567358113215466,18.203475389986412,9.637610138441318,0.037075471239955964,DA3
warehouse2,ok,0.5561545372866128,0.1734052111410602,4.222145566400866,4.1967434610127246,1.1914293908485594,0.6737688639689223,20260612T112908Z_fps3_da3_streaming,3,624,5.194598176311807,0.7843762629163162,4.103105105934016,0.22948673264131303,DA3
