run_name,run_dir,frame_base,fps,fps_value,chunk_size,overlap,chunk_overlap_label,loop_enable,gpu_samples,duration_s,gpu_mean_util_percent,gpu_peak_util_percent,gpu_mean_mem_used_mb,gpu_peak_mem_used_mb,gpu_mean_mem_total_mb,gpu_mean_mem_used_percent,gpu_peak_mem_used_percent,gpu_mean_power_w,gpu_peak_power_w,gpu_mean_temp_c,gpu_peak_temp_c
freiburg3_teddy__fps3__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg3_teddy__fps3__chunk20__overlap10__loop,freiburg3_teddy,3,3.0,20,10,20/10,True,68,67.0,55.161764705882355,100.0,5054.75,10153.0,12282.0,41.155756391467186,82.66568962709655,97.95720588235294,188.33,52.48529411764706,65.0
freiburg3_teddy__fps3__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg3_teddy__fps3__chunk30__overlap15__loop,freiburg3_teddy,3,3.0,30,15,30/15,True,68,67.001,50.30882352941177,100.0,5392.661764705882,11125.0,12282.0,43.907032769140876,90.57971014492753,99.30617647058823,188.07,52.529411764705884,67.0
freiburg3_teddy__fps5__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg3_teddy__fps5__chunk10__overlap5__loop,freiburg3_teddy,5,5.0,10,5,10/5,True,105,104.001,53.95238095238095,100.0,4767.561904761905,9309.0,12282.0,38.81747194888377,75.79384465070835,99.50895238095238,163.48,52.23809523809524,67.0
freiburg3_teddy__fps5__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg3_teddy__fps5__chunk20__overlap10__loop,freiburg3_teddy,5,5.0,20,10,20/10,True,106,105.001,48.91509433962264,100.0,4984.971698113208,9821.0,12282.0,40.58762170748419,79.9625468164794,100.56245283018869,190.61,52.85849056603774,67.0
freiburg3_teddy__fps5__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg3_teddy__fps5__chunk30__overlap15__loop,freiburg3_teddy,5,5.0,30,15,30/15,True,110,109.001,55.61818181818182,100.0,5667.3,10795.0,12282.0,46.143136297020035,87.89285132714542,102.99872727272728,186.54,53.43636363636364,68.0
hall_walk_evry__fps1__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps1__chunk10__overlap5__loop,hall_walk_evry,1,1.0,10,5,10/5,True,22,21.0,43.68181818181818,100.0,3157.681818181818,7820.0,12282.0,25.70983405130938,63.670411985018724,66.15409090909091,141.71,42.81818181818182,56.0
hall_walk_evry__fps1__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps1__chunk20__overlap10__loop,hall_walk_evry,1,1.0,20,10,20/10,True,21,20.001,37.0,100.0,3491.7619047619046,8402.0,12282.0,28.429912919409745,68.40905390001627,66.65857142857142,154.47,44.57142857142857,59.0
hall_walk_evry__fps1__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps1__chunk30__overlap15__loop,hall_walk_evry,1,1.0,30,15,30/15,True,21,20.001,48.57142857142857,100.0,3079.190476190476,8969.0,12282.0,25.070757826009416,73.02556586875102,66.13523809523811,180.08,47.666666666666664,63.0
hall_walk_evry__fps2__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps2__chunk10__overlap5__loop,hall_walk_evry,2,2.0,10,5,10/5,True,35,34.001,31.4,100.0,3568.657142857143,7757.0,12282.0,29.055993672505643,63.157466210714865,77.58,150.8,47.68571428571428,60.0
hall_walk_evry__fps2__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps2__chunk20__overlap10__loop,hall_walk_evry,2,2.0,20,10,20/10,True,34,33.0,38.23529411764706,100.0,3925.8823529411766,8357.0,12282.0,31.964520053258237,68.04266406122781,82.32470588235294,161.18,51.0,64.0
hall_walk_evry__fps2__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps2__chunk30__overlap15__loop,hall_walk_evry,2,2.0,30,15,30/15,True,34,33.001,32.64705882352941,100.0,3662.294117647059,9085.0,12282.0,29.818385585792694,73.97003745318352,81.72382352941177,184.51,49.44117647058823,64.0
hall_walk_evry__fps3__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps3__chunk10__overlap5__loop,hall_walk_evry,3,3.0,10,5,10/5,True,48,47.001,34.583333333333336,100.0,3555.5,7767.0,12282.0,28.94886826249796,63.238886174890084,86.22020833333333,152.31,49.104166666666664,61.0
hall_walk_evry__fps3__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps3__chunk20__overlap10__loop,hall_walk_evry,3,3.0,20,10,20/10,True,49,48.001,41.40816326530612,100.0,4086.8571428571427,8327.0,12282.0,33.27517621606532,67.79840416870216,86.58142857142856,158.88,49.16326530612245,63.0
hall_walk_evry__fps3__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps3__chunk30__overlap15__loop,hall_walk_evry,3,3.0,30,15,30/15,True,48,47.001,49.625,100.0,4357.708333333333,8977.0,12282.0,35.48044563860392,73.09070184009119,91.46895833333333,187.45,49.4375,63.0
hall_walk_evry__fps5__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps5__chunk10__overlap5__loop,hall_walk_evry,5,5.0,10,5,10/5,True,77,76.0,57.142857142857146,100.0,3986.1428571428573,7665.0,12282.0,32.45516086258636,62.40840254030289,90.77974025974027,153.68,49.883116883116884,63.0
hall_walk_evry__fps5__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps5__chunk20__overlap10__loop,hall_walk_evry,5,5.0,20,10,20/10,True,79,78.001,51.30379746835443,100.0,4189.2405063291135,8273.0,12282.0,34.10878119466791,67.35873636215601,93.61658227848102,172.68,50.924050632911396,64.0
hall_walk_evry__fps5__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/hall_walk_evry__fps5__chunk30__overlap15__loop,hall_walk_evry,5,5.0,30,15,30/15,True,78,77.001,59.14102564102564,100.0,4499.48717948718,9096.0,12282.0,36.63480849606888,74.05959941377625,96.79564102564103,185.65,51.42307692307692,66.0
