sequence,mode,tracking_ratio,trajectory_ratio,se3_rmse_m,sim3_rmse_m,sim3_scale,path_ratio_est_over_gt,tracking_frames,frames_total,failure_updates,relocalization_frames,paused_frames
MH_01_easy,mono,0.9948397609994568,0.9462248777838131,3.2559353115176743,0.16273608403853013,0.5662652787028152,1.747772715559658,3663,3682,6,5,1
MH_03_medium,mono,0.9641666666666666,0.9508333333333333,7.928623934104731,0.5374387515153403,0.3127263154011531,3.202135405109284,2314,2400,1,1,0
V1_02_medium,mono,0.9374269005847953,0.9157894736842105,1.125715342521008,0.5556694378837275,2.3219584636730466,0.3733630279050857,1603,1710,0,0,0
MH_01_easy,mono-imu,0.9953829440521456,0.9560021727322108,0.2017050492823696,0.15480054996288464,1.0313009529946895,1.0082018518509417,3665,3682,9,8,1
MH_03_medium,mono-imu,0.9633333333333334,0.9316666666666666,0.18104436459440057,0.18088775541732813,1.002072012697413,1.018915247247741,2312,2400,3,3,0
V1_02_medium,mono-imu,0.9374269005847953,0.908187134502924,0.09844166998875097,0.0983296805689417,0.9973999513747407,1.0055825115642414,1603,1710,0,0,0
